FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\test_shelf.py,649,7,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_merge.py,547,9,0,1,3
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_merge_directive.py,213,5,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_modified.py,41,3,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_pull.py,347,11,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_inventory.py,67,2,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_hooks.py,29,2,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_help.py,131,4,0,1,4
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_filtered_view_ops.py,161,3,0,1,1
E:\Source code on python\Other\bzr-2.2.0\tools\__init__.py,0,0,0,1,1
E:\Source code on python\Other\bzr-2.2.0\contrib\newinventory.py,97,2,0,1,8
E:\Source code on python\Other\bzr-2.2.0\bzrlib\xml5.py,77,5,2,1,10
E:\Source code on python\Other\bzr-2.2.0\doc\es\conf.py,34,3,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\commands\test_checkout.py,15,2,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_remove_tree.py,130,3,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\test_cleanup.py,231,9,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\test_debug.py,33,4,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\launchpad\lp_directory.py,71,10,0,1,10
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\news_merge\news_merge.py,40,3,0,1,6
E:\Source code on python\Other\bzr-2.2.0\bzrlib\lock.py,379,19,8,11,11
E:\Source code on python\Other\bzr-2.2.0\bzrlib\library_state.py,66,2,2,1,3
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_re_sign.py,65,4,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\rules.py,106,6,6,1,6
E:\Source code on python\Other\bzr-2.2.0\bzrlib\testament.py,171,1,1,1,6
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_clean_tree.py,60,3,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_outside_wt.py,46,3,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_branch.py,334,15,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\news_merge\tests\__init__.py,7,0,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\recordcounter.py,37,0,0,1,2
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\news_merge\tests\test_news_merge.py,6,2,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\blackbox\test_check.py,77,2,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\tests\test_revision.py,215,16,0,1,5
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\news_merge\parser.py,38,1,0,3,7
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\bash_completion\__init__.py,16,2,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\netrc_credential_store\tests\test_netrc.py,54,4,0,1,1
E:\Source code on python\Other\bzr-2.2.0\bzrlib\plugins\launchpad\test_lp_open.py,64,1,0,1,1
