FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-2.3.0\bzrlib\util\effbot\__init__.py,0,0,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\util\_bencode_py.py,130,9,0,3,5
E:\Source code on python\Other\bzr-2.3.0\tools\package_mf.py,59,3,1,2,7
E:\Source code on python\Other\bzr-2.3.0\tools\time_graph.py,91,13,0,8,8
E:\Source code on python\Other\bzr-2.3.0\tools\convertfile.py,42,7,0,1,4
E:\Source code on python\Other\bzr-2.3.0\tools\generate_release_notes.py,82,4,0,2,6
E:\Source code on python\Other\bzr-2.3.0\tools\check-newsbugs.py,87,6,0,13,13
E:\Source code on python\Other\bzr-2.3.0\tools\rst2prettyhtml.py,57,8,0,4,4
E:\Source code on python\Other\bzr-2.3.0\tools\package_docs.py,64,7,0,2,9
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_version.py,23,6,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\transport\unlistable.py,20,3,1,1,1
E:\Source code on python\Other\bzr-2.3.0\doc\developers\conf.py,39,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_tuned_gzip.py,72,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_reconcile.py,35,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\fixtures.py,61,1,3,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_export.py,94,3,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_deleted.py,14,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_branch\test_break_lock.py,61,1,0,1,4
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_interbranch\test_copy_content_into.py,26,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_help.py,133,3,0,1,4
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_alias.py,56,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_modified.py,41,3,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\smtp_connection.py,119,6,1,1,9
E:\Source code on python\Other\bzr-2.3.0\bzrlib\smart\repository.py,620,20,2,1,10
E:\Source code on python\Other\bzr-2.3.0\bzrlib\transport\http\ca_bundle.py,29,3,2,1,8
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_tree.py,330,5,0,1,6
E:\Source code on python\Other\bzr-2.3.0\tools\rst2html.py,30,6,0,3,3
E:\Source code on python\Other\bzr-2.3.0\contrib\newinventory.py,97,2,0,1,8
E:\Source code on python\Other\bzr-2.3.0\bzrlib\xml6.py,10,1,6,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\transport\readonly.py,49,1,2,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\transport\http\_pycurl.py,291,10,0,3,6
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_mutabletree.py,35,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_knit.py,2121,30,0,1,5
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_gpg.py,50,4,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_repository\test_has_same_location.py,86,3,0,1,3
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_workingtree\test_remove.py,263,4,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_workingtree\test_unversion.py,155,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_workingtree\test_mkdir.py,16,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_script.py,458,4,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_tree\test_is_executable.py,17,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_repository_chk\test_unsupported.py,9,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\commands\test_cat.py,22,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_shared_repository.py,111,6,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_testament.py,24,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_sign_my_commits.py,70,4,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\commands\test_merge.py,15,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\textfile.py,29,2,2,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\test_revisiontree.py,35,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_resolve.py,66,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_interbranch\test_update_revisions.py,39,2,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_tree\test_get_symlink_target.py,36,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_tree\test_get_file_with_stat.py,30,2,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_controldir\test_push.py,39,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_branch\test_iter_merge_sorted_revisions.py,183,2,0,1,2
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_branch\test_dotted_revno_to_revision_id.py,23,2,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_branch\test_update.py,87,3,0,1,3
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_repository_reference\test_check.py,22,3,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\per_repository_reference\test_default_stacking.py,13,1,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_mv.py,399,7,0,1,1
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_log.py,667,9,0,1,3
E:\Source code on python\Other\bzr-2.3.0\bzrlib\tests\blackbox\test_join.py,63,5,0,1,1
