FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\treeprocessors.py,257,2,1,1,11
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\html4.py,195,1,1,2,18
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\escape.py,73,7,6,4,4
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\locale.py,378,4,1,1,15
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\httpclient.py,607,14,1,1,26
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\blog\markdown.py,1322,9,1,4,24
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\website.py,42,7,0,2,4
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\preprocessors.py,163,2,1,1,14
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\s3server.py,212,10,0,1,11
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\odict.py,132,0,1,1,6
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\extensions\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\inlinepatterns.py,283,7,1,3,5
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\etree_loader.py,29,1,1,1,8
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\helloworld\helloworld.py,19,6,0,2,2
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\extensions\toc.py,101,2,0,1,17
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\__init__.py,1,0,0,1,1
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\appengine\markdown.py,1322,9,10,4,24
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\ioloop.py,392,13,5,8,20
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\httpserver.py,363,13,1,4,10
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\blog\blog.py,147,12,0,2,6
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\autoreload.py,58,7,1,2,13
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\database.py,133,6,0,3,6
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\web.py,1224,26,2,1,21
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\auth.py,732,11,0,1,12
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\facebook\facebook.py,88,11,0,2,2
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\blockparser.py,68,1,1,1,4
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\win32_support.py,70,5,3,1,5
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\chat\chatdemo.py,113,11,0,2,5
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\iostream.py,194,4,1,1,10
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\facebook\uimodules.py,4,1,1,1,1
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\appengine\blog.py,124,10,0,2,5
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\demos\auth\authdemo.py,48,8,0,2,2
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\template.py,433,7,1,1,33
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\options.py,306,7,0,2,10
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\commandline.py,78,8,0,1,5
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\wsgi.py,247,10,0,1,15
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\blockprocessors.py,323,2,1,1,6
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\httputil.py,94,1,3,2,3
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\postprocessors.py,59,1,1,1,6
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\setup.py,23,3,0,3,3
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\tornado\test\test_ioloop.py,24,4,0,2,2
E:\Source code on python\web framework\tornado\tornado-1.0.0\tornado-1.0.0\website\markdown\__init__.py,434,19,0,1,8
