FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_cat_revision.py,51,1,0,1,3
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\commands\test_branch.py,19,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_alias.py,56,1,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_check.py,77,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_add.py,176,4,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\commands\test_pull.py,28,3,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\commands\test_revert.py,28,7,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\commands\test_init.py,12,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_mv.py,407,8,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\smart\__init__.py,13,1,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\per_repository_reference\test_graph.py,21,1,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_reconfigure.py,180,4,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_ignored.py,20,1,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_hooks.py,29,2,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_find_merge_base.py,18,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_cat.py,150,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_config.py,249,5,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\per_repository_reference\test_default_stacking.py,13,1,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\blackbox\test_debug.py,28,5,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_cache_utf8.py,72,2,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_revert.py,125,4,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_script.py,458,4,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_smtp_connection.py,206,8,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_utextwrap.py,145,3,0,2,3
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_strace.py,51,5,0,1,3
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_trace.py,280,24,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_crash.py,74,9,0,1,3
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_clean_tree.py,94,10,0,1,3
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_chk_serializer.py,83,3,0,1,1
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_gpg.py,237,5,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_cethread.py,112,2,0,1,2
E:\Source code on python\Other\bzr-2.4.0\bzrlib\tests\test_eol_filters.py,43,5,0,1,2
