sum,changed
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,0
5,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,1
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
0,0
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,1
0,1
0,0
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
1,1
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,0
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,1
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
4,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,0
0,
0,1
