FormerVersionFileName,exist,LatterVersionFileName,changed,addition,deletion,modification
/home/aiyanxu/pair/scipy-0.13.2/tools/win32/build_scripts/pavement.py,1,/home/aiyanxu/pair/scipy-0.14.0/tools/win32/build_scripts/pavement.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/setupegg.py,1,/home/aiyanxu/pair/scipy-0.14.0/setupegg.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/tools/authors.py,1,/home/aiyanxu/pair/scipy-0.14.0/tools/authors.py,1,5,3,1
/home/aiyanxu/pair/scipy-0.13.2/scipy/weave/swigptr.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/weave/swigptr.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/weave/setup.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/weave/setup.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/weave/swigptr2.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/weave/swigptr2.py,1,0,0,3
/home/aiyanxu/pair/scipy-0.13.2/scipy/weave/tests/test_ast_tools.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/weave/tests/test_ast_tools.py,1,0,0,10
/home/aiyanxu/pair/scipy-0.13.2/scipy/weave/tests/test_c_spec.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/weave/tests/test_c_spec.py,1,2,114,49
/home/aiyanxu/pair/scipy-0.13.2/scipy/sparse/linalg/tests/test_expm_multiply.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/sparse/linalg/tests/test_expm_multiply.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/stats/tests/test_tukeylambda_stats.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/stats/tests/test_tukeylambda_stats.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/special/spfun_stats.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/special/spfun_stats.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/special/tests/test_lambertw.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/special/tests/test_lambertw.py,0,0,0,0
/home/aiyanxu/pair/scipy-0.13.2/scipy/special/lambertw.py,1,/home/aiyanxu/pair/scipy-0.14.0/scipy/special/lambertw.py,0,0,0,0
